Siruta,F1,F2,F3,F4,F5,F6,F7,F8
1017,0.35270957054094354,-4.149359133398313,0.0,0.0,0.0,0.0,0.0,0.0
1071,-0.08310340796671789,-0.10530905049824192,0.0,0.0,0.0,0.0,0.0,0.0
1151,-0.035760997025522975,-0.05628684189694194,0.0,0.0,0.0,0.0,0.0,0.0
1213,0.4562881179116035,-0.04589899111348285,0.0,0.0,0.0,0.0,0.0,0.0
1348,0.3310599508382204,-0.010451575025812102,0.0,0.0,0.0,0.0,0.0,0.0
1455,0.014878190746600652,-0.022255440578754195,0.0,0.0,0.0,0.0,0.0,0.0
1696,0.46764975539555026,-0.005811487718818803,0.0,0.0,0.0,0.0,0.0,0.0
1794,0.18099069461444145,-0.0035034217094340185,0.0,0.0,0.0,0.0,0.0,0.0
1874,0.6043724409367349,-0.0069123250073486915,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.023395579728018086,-0.002234527829304055,0.0,0.0,0.0,0.0,0.0,0.0
2130,-0.11483994327420219,-0.0011215097685530894,0.0,0.0,0.0,0.0,0.0,0.0
2309,-0.13467229686497922,-0.0009618274578580336,0.0,0.0,0.0,0.0,0.0,0.0
2381,-0.12438972974699591,-0.0010446186439714892,0.0,0.0,0.0,0.0,0.0,0.0
2577,-0.1282190995702449,-0.0010137860643129942,0.0,0.0,0.0,0.0,0.0,0.0
2915,0.12305516921420721,10.874726783963045,0.0,0.0,0.0,0.0,0.0,0.0
2988,-0.11647097116188235,-0.0011083773735081138,0.0,0.0,0.0,0.0,0.0,0.0
3039,-0.05070981777744715,-0.0016378603155461809,0.0,0.0,0.0,0.0,0.0,0.0
3397,-0.14268560779140743,-0.0008973074300523891,0.0,0.0,0.0,0.0,0.0,0.0
3459,-0.12892824213010592,-0.0010080763273495183,0.0,0.0,0.0,0.0,0.0,0.0
3761,-0.14185827480490315,-0.0009039687898502795,0.0,0.0,0.0,0.0,0.0,0.0
3805,-0.12661170976789346,-0.0010267281347794994,0.0,0.0,0.0,0.0,0.0,0.0
3841,-0.15901952475353717,-0.0007657931550809646,0.0,0.0,0.0,0.0,0.0,0.0
3958,-0.09004359176439898,-0.001321160238060735,0.0,0.0,0.0,0.0,0.0,0.0
4008,-0.13677608645923328,-0.0009448885714933528,0.0,0.0,0.0,0.0,0.0,0.0
4106,-0.1206549122650618,-0.001074689925360586,0.0,0.0,0.0,0.0,0.0,0.0
4142,-0.11517087646880401,-0.001118845224629073,0.0,0.0,0.0,0.0,0.0,0.0
4188,-0.114319905396971,-0.001125696908991601,0.0,0.0,0.0,0.0,0.0,0.0
4240,-0.09063454389761656,-0.0013164021239172735,0.0,0.0,0.0,0.0,0.0,0.0
4268,-0.14148006543964392,-0.000907013982900208,0.0,0.0,0.0,0.0,0.0,0.0
4302,-0.12672990019453706,-0.0010257765119592959,0.0,0.0,0.0,0.0,0.0,0.0
4366,-0.06089783255411566,-0.0015558304276863256,0.0,0.0,0.0,0.0,0.0,0.0
4482,-0.11500540987150329,-0.001120177496592763,0.0,0.0,0.0,0.0,0.0,0.0
4525,-0.12500431996554212,-0.0010396702052598373,0.0,0.0,0.0,0.0,0.0,0.0
4703,-0.13679972454456196,-0.0009446982469249732,0.0,0.0,0.0,0.0,0.0,0.0
4767,-0.11540725732209098,-0.0011169419789677278,0.0,0.0,0.0,0.0,0.0,0.0
4927,-0.002771780730849572,-0.0020238385349723373,0.0,0.0,0.0,0.0,0.0,0.0
4981,-0.15027343318191927,-0.0008362132444330539,0.0,0.0,0.0,0.0,0.0,0.0
5103,-0.039599917672959555,-0.0017273128614665033,0.0,0.0,0.0,0.0,0.0,0.0
5167,-0.13505050623023826,-0.0009587822647867889,0.0,0.0,0.0,0.0,0.0,0.0
5210,-0.10089347293027093,-0.0012338012623649029,0.0,0.0,0.0,0.0,0.0,0.0
5309,-0.10481739509483473,-0.0012022073844439258,0.0,0.0,0.0,0.0,0.0,0.0
5336,-0.09006722984972776,-0.001320969913499461,0.0,0.0,0.0,0.0,0.0,0.0
5577,-0.0981278169468137,-0.001256069236567526,0.0,0.0,0.0,0.0,0.0,0.0
5700,-0.08758523089021462,-0.001340953992907343,0.0,0.0,0.0,0.0,0.0,0.0
5755,-0.11493449561551705,-0.0011207484702801384,0.0,0.0,0.0,0.0,0.0,0.0
5826,-0.14590038739611033,-0.0008714232890980621,0.0,0.0,0.0,0.0,0.0,0.0
6048,-0.12214411164076965,-0.0010626994777178371,0.0,0.0,0.0,0.0,0.0,0.0
6119,-0.1511480423390808,-0.000829171235477088,0.0,0.0,0.0,0.0,0.0,0.0
6164,-0.14913880508614166,-0.0008453488235761123,0.0,0.0,0.0,0.0,0.0,0.0
6217,-0.07973738656108732,-0.0014041417487565921,0.0,0.0,0.0,0.0,0.0,0.0
6271,-0.1388562379681588,-0.0009281400097176113,0.0,0.0,0.0,0.0,0.0,0.0
6397,-0.1514789755336828,-0.0008265066915706459,0.0,0.0,0.0,0.0,0.0,0.0
6468,-0.13991995180794983,-0.0009195754042437864,0.0,0.0,0.0,0.0,0.0,0.0
6547,-0.13372677345183134,-0.000969440440483233,0.0,0.0,0.0,0.0,0.0,0.0
6592,-0.1402508850025517,-0.0009169108603235119,0.0,0.0,0.0,0.0,0.0,0.0
6627,-0.15228267043485852,-0.0008200356563411351,0.0,0.0,0.0,0.0,0.0,0.0
6761,-0.09722956970432306,-0.0012633015700598972,0.0,0.0,0.0,0.0,0.0,0.0
6930,-0.12724993807176846,-0.001021589371520784,0.0,0.0,0.0,0.0,0.0,0.0
6976,-0.12847911850886065,-0.0010116924940864437,0.0,0.0,0.0,0.0,0.0,0.0
7044,-0.10945045981925938,-0.001164903769548625,0.0,0.0,0.0,0.0,0.0,0.0
7099,-0.013361642958105716,-0.0019385731294894884,0.0,0.0,0.0,0.0,0.0,0.0
7197,-0.12533525316014368,-0.0010370056613289045,0.0,0.0,0.0,0.0,0.0,0.0
7348,-0.10120076803954416,-0.0012313270430126296,0.0,0.0,0.0,0.0,0.0,0.0
7384,-0.09373113307567592,-0.0012914696058082085,0.0,0.0,0.0,0.0,0.0,0.0
7446,-0.1226168733473437,-0.0010588929863983212,0.0,0.0,0.0,0.0,0.0,0.0
7767,-0.10649569915317231,-0.0011886943402797652,0.0,0.0,0.0,0.0,0.0,0.0
7810,-0.10685027043310287,-0.0011858394717946636,0.0,0.0,0.0,0.0,0.0,0.0
7865,-0.06030688042089815,-0.0015605885418281053,0.0,0.0,0.0,0.0,0.0,0.0
7945,-0.10384823359635834,-0.0012100106916479738,0.0,0.0,0.0,0.0,0.0,0.0
8014,-0.09623677012051778,-0.0012712952018252195,0.0,0.0,0.0,0.0,0.0,0.0
8096,0.01264025090346104,-0.0021479301518633684,0.0,0.0,0.0,0.0,0.0,0.0
8158,-0.045225781981189345,-0.0016820156148042934,0.0,0.0,0.0,0.0,0.0,0.0
8229,-0.13259214535605374,-0.0009785760196333968,0.0,0.0,0.0,0.0,0.0,0.0
8354,-0.09091820092156083,-0.0013141182291262746,0.0,0.0,0.0,0.0,0.0,0.0
8425,-0.12590256720803233,-0.0010324378717536335,0.0,0.0,0.0,0.0,0.0,0.0
8826,-0.035675995508395696,-0.001758906739380659,0.0,0.0,0.0,0.0,0.0,0.0
9019,-0.1350977824008957,-0.0009584016156642404,0.0,0.0,0.0,0.0,0.0,0.0
9026,-0.10822127938216723,-0.0011748006469721182,0.0,0.0,0.0,0.0,0.0,0.0
9262,4.069786664379708,-0.03481447732633601,0.0,0.0,0.0,0.0,0.0,0.0
9280,-0.07734993994288877,-0.0014233645298984395,0.0,0.0,0.0,0.0,0.0,0.0
9333,-0.08297580425111871,-0.0013780672832413693,0.0,0.0,0.0,0.0,0.0,0.0
