Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-54,Barbati_55-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-54,Femei_55-64,Femei_65_
Arad,52.0,44.0,61.0,81.0,27.0,84.0,56.0,76.0,92.0,54.0,83.0,82.0
Arges,40.0,57.0,13.0,16.0,6.0,36.0,30.0,41.0,17.0,23.0,82.0,13.0
Bacau,66.0,56.0,64.0,1.0,83.0,80.0,47.0,40.0,83.0,61.0,50.0,9.0
Bihor,94.0,48.0,1.0,83.0,4.0,45.0,74.0,51.0,17.0,55.0,20.0,94.0
Botosani,0.0,11.0,58.0,52.0,78.0,83.0,92.0,84.0,51.0,69.0,100.0,47.0
Braila,99.0,57.0,26.0,30.0,78.0,78.0,22.0,20.0,73.0,31.0,69.0,70.0
Brasov,18.0,41.0,78.0,56.0,83.0,88.0,33.0,3.0,50.0,44.0,5.0,64.0
Bucuresti,76.0,58.0,55.0,29.0,82.0,66.0,76.0,10.0,27.0,32.0,59.0,81.0
Buzau,72.0,1.0,45.0,8.0,27.0,79.0,30.0,11.0,26.0,85.0,18.0,100.0
Cluj,95.0,28.0,73.0,94.0,56.0,22.0,100.0,44.0,66.0,86.0,3.0,20.0
Constanta,7.0,26.0,0.0,55.0,0.0,78.0,24.0,86.0,2.0,98.0,29.0,80.0
Dolj,67.0,24.0,38.0,88.0,88.0,88.0,89.0,24.0,18.0,97.0,77.0,52.0
Galati,83.0,18.0,98.0,35.0,0.0,15.0,62.0,98.0,44.0,54.0,78.0,30.0
Iasi,44.0,58.0,20.0,39.0,28.0,77.0,85.0,87.0,67.0,11.0,94.0,39.0
Maramures,70.0,17.0,50.0,77.0,33.0,97.0,82.0,96.0,26.0,66.0,68.0,2.0
Mures,89.0,19.0,24.0,28.0,80.0,73.0,93.0,53.0,72.0,65.0,32.0,30.0
Prahova,42.0,71.0,36.0,36.0,89.0,60.0,76.0,27.0,76.0,22.0,94.0,39.0
Satu Mare,36.0,71.0,83.0,16.0,30.0,21.0,2.0,99.0,42.0,17.0,8.0,76.0
Sibiu,50.0,7.0,52.0,19.0,2.0,92.0,52.0,79.0,18.0,23.0,70.0,15.0
Timis,36.0,38.0,4.0,83.0,5.0,24.0,73.0,26.0,87.0,90.0,99.0,18.0
