,Siruta,Localitate,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-54,Barbati_55-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-54,Femei_55-64,Femei_65_,Barbati,Femei
0,92972,Bucuresti,76,58,55,29,82,66,76,10,27,32,59,81,366,285
1,94071,Cluj-Napoca,95,28,73,94,56,22,100,44,66,86,3,20,368,319
2,46103,Timisoara,36,38,4,83,5,24,73,26,87,90,99,18,190,393
3,87723,Iasi,44,58,20,39,28,77,85,87,67,11,94,39,266,383
4,35084,Constanta,7,26,0,55,0,78,24,86,2,98,29,80,166,319
5,66781,Craiova,67,24,38,88,88,88,89,24,18,97,77,52,393,357
6,49645,Brasov,18,41,78,56,83,88,33,3,50,44,5,64,364,199
7,73517,Galati,83,18,98,35,0,15,62,98,44,54,78,30,249,366
8,73974,Ploiesti,42,71,36,36,89,60,76,27,76,22,94,39,334,334
9,94175,Oradea,94,48,1,83,4,45,74,51,17,55,20,94,275,311
10,43518,Braila,99,57,26,30,78,78,22,20,73,31,69,70,368,285
11,46502,Arad,52,44,61,81,27,84,56,76,92,54,83,82,349,443
12,34401,Pitesti,40,57,13,16,6,36,30,41,17,23,82,13,168,206
13,19831,Sibiu,50,7,52,19,2,92,52,79,18,23,70,15,222,257
14,87978,Bacau,66,56,64,1,83,80,47,40,83,61,50,9,350,290
15,32527,Targu Mures,89,19,24,28,80,73,93,53,72,65,32,30,313,345
16,54951,Baia Mare,70,17,50,77,33,97,82,96,26,66,68,2,344,340
17,40320,Buzau,72,1,45,8,27,79,30,11,26,85,18,100,232,270
18,84119,Botosani,0,11,58,52,78,83,92,84,51,69,100,47,282,443
19,66525,Satu Mare,36,71,83,16,30,21,2,99,42,17,8,76,257,244
